image_path,mask_path,n_mask_pixel,uid,pixel_percentage
/data/jimmy15923/cg_kidney_seg/train/S2016-31954_4_5/image/S2016-31954_4_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-31954_4_5/mask/S2016-31954_4_5_mask.jpg,28288,S2016-31954_4_5,2.8288
/data/jimmy15923/cg_kidney_seg/train/S2016-10162_7_5/image/S2016-10162_7_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-10162_7_5/mask/S2016-10162_7_5_mask.jpg,30778,S2016-10162_7_5,3.0778
/data/jimmy15923/cg_kidney_seg/train/S2016-13291_4_4/image/S2016-13291_4_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-13291_4_4/mask/S2016-13291_4_4_mask.jpg,60360,S2016-13291_4_4,6.036
/data/jimmy15923/cg_kidney_seg/train/S2016-36363_9_3/image/S2016-36363_9_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-36363_9_3/mask/S2016-36363_9_3_mask.jpg,26652,S2016-36363_9_3,2.6652
/data/jimmy15923/cg_kidney_seg/train/S2016-4874_6_2/image/S2016-4874_6_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-4874_6_2/mask/S2016-4874_6_2_mask.jpg,89310,S2016-4874_6_2,8.931
/data/jimmy15923/cg_kidney_seg/train/S2016-2803_2_4/image/S2016-2803_2_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-2803_2_4/mask/S2016-2803_2_4_mask.jpg,57317,S2016-2803_2_4,5.7317
/data/jimmy15923/cg_kidney_seg/train/S2016-26532_4_2/image/S2016-26532_4_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-26532_4_2/mask/S2016-26532_4_2_mask.jpg,31346,S2016-26532_4_2,3.1346
/data/jimmy15923/cg_kidney_seg/train/S2016-25390_4_2/image/S2016-25390_4_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-25390_4_2/mask/S2016-25390_4_2_mask.jpg,35090,S2016-25390_4_2,3.509
/data/jimmy15923/cg_kidney_seg/train/S2016-14721_4_6/image/S2016-14721_4_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-14721_4_6/mask/S2016-14721_4_6_mask.jpg,6963,S2016-14721_4_6,0.6963
/data/jimmy15923/cg_kidney_seg/train/S2016-9205_5_2/image/S2016-9205_5_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-9205_5_2/mask/S2016-9205_5_2_mask.jpg,38266,S2016-9205_5_2,3.8266
/data/jimmy15923/cg_kidney_seg/train/S2016-11240_2_1/image/S2016-11240_2_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-11240_2_1/mask/S2016-11240_2_1_mask.jpg,18670,S2016-11240_2_1,1.867
/data/jimmy15923/cg_kidney_seg/train/S2016-40710_2_5/image/S2016-40710_2_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-40710_2_5/mask/S2016-40710_2_5_mask.jpg,22971,S2016-40710_2_5,2.2971
/data/jimmy15923/cg_kidney_seg/train/S2016-507_7_9/image/S2016-507_7_9_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-507_7_9/mask/S2016-507_7_9_mask.jpg,33650,S2016-507_7_9,3.365
/data/jimmy15923/cg_kidney_seg/train/S2016-34761_6_4/image/S2016-34761_6_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-34761_6_4/mask/S2016-34761_6_4_mask.jpg,19682,S2016-34761_6_4,1.9682
/data/jimmy15923/cg_kidney_seg/train/S2016-12422_4_2/image/S2016-12422_4_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-12422_4_2/mask/S2016-12422_4_2_mask.jpg,107698,S2016-12422_4_2,10.7698
/data/jimmy15923/cg_kidney_seg/train/S2016-6007_4_5/image/S2016-6007_4_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-6007_4_5/mask/S2016-6007_4_5_mask.jpg,43899,S2016-6007_4_5,4.3899
/data/jimmy15923/cg_kidney_seg/train/S2016-22596_2_3/image/S2016-22596_2_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-22596_2_3/mask/S2016-22596_2_3_mask.jpg,21350,S2016-22596_2_3,2.135
/data/jimmy15923/cg_kidney_seg/train/S2016-10162_4_3/image/S2016-10162_4_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-10162_4_3/mask/S2016-10162_4_3_mask.jpg,23709,S2016-10162_4_3,2.3709
/data/jimmy15923/cg_kidney_seg/train/S2016-11948_2_4/image/S2016-11948_2_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-11948_2_4/mask/S2016-11948_2_4_mask.jpg,23532,S2016-11948_2_4,2.3532
/data/jimmy15923/cg_kidney_seg/train/S2016-15757_4_3/image/S2016-15757_4_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-15757_4_3/mask/S2016-15757_4_3_mask.jpg,44807,S2016-15757_4_3,4.4807
/data/jimmy15923/cg_kidney_seg/train/S2016-23877_4_5/image/S2016-23877_4_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-23877_4_5/mask/S2016-23877_4_5_mask.jpg,75094,S2016-23877_4_5,7.5094
/data/jimmy15923/cg_kidney_seg/train/S2016-19625_4_8/image/S2016-19625_4_8_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-19625_4_8/mask/S2016-19625_4_8_mask.jpg,27768,S2016-19625_4_8,2.7768
/data/jimmy15923/cg_kidney_seg/train/S2016-30313_2_7/image/S2016-30313_2_7_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-30313_2_7/mask/S2016-30313_2_7_mask.jpg,17458,S2016-30313_2_7,1.7458
/data/jimmy15923/cg_kidney_seg/train/S2016-20501_2_4/image/S2016-20501_2_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-20501_2_4/mask/S2016-20501_2_4_mask.jpg,38109,S2016-20501_2_4,3.8109
/data/jimmy15923/cg_kidney_seg/train/S2016-40624_3_6/image/S2016-40624_3_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-40624_3_6/mask/S2016-40624_3_6_mask.jpg,5640,S2016-40624_3_6,0.564
/data/jimmy15923/cg_kidney_seg/train/S2016-4354X_5_3/image/S2016-4354X_5_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-4354X_5_3/mask/S2016-4354X_5_3_mask.jpg,37115,S2016-4354X_5_3,3.7115
/data/jimmy15923/cg_kidney_seg/train/S2016-28676_1_0/image/S2016-28676_1_0_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-28676_1_0/mask/S2016-28676_1_0_mask.jpg,2334,S2016-28676_1_0,0.2334
/data/jimmy15923/cg_kidney_seg/train/S2016-15368_3_6/image/S2016-15368_3_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-15368_3_6/mask/S2016-15368_3_6_mask.jpg,15968,S2016-15368_3_6,1.5968
/data/jimmy15923/cg_kidney_seg/train/S2016-30816_5_2/image/S2016-30816_5_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-30816_5_2/mask/S2016-30816_5_2_mask.jpg,46859,S2016-30816_5_2,4.6859
/data/jimmy15923/cg_kidney_seg/train/S2016-36363_11_11/image/S2016-36363_11_11_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-36363_11_11/mask/S2016-36363_11_11_mask.jpg,9898,S2016-36363_11_11,0.9898
/data/jimmy15923/cg_kidney_seg/train/S2016-42009_2_5/image/S2016-42009_2_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-42009_2_5/mask/S2016-42009_2_5_mask.jpg,31642,S2016-42009_2_5,3.1642
/data/jimmy15923/cg_kidney_seg/train/S2016-22267_9_1/image/S2016-22267_9_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-22267_9_1/mask/S2016-22267_9_1_mask.jpg,47874,S2016-22267_9_1,4.7874
/data/jimmy15923/cg_kidney_seg/train/S2016-27883_10_5/image/S2016-27883_10_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27883_10_5/mask/S2016-27883_10_5_mask.jpg,23640,S2016-27883_10_5,2.364
/data/jimmy15923/cg_kidney_seg/train/S2016-4874_6_8/image/S2016-4874_6_8_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-4874_6_8/mask/S2016-4874_6_8_mask.jpg,19173,S2016-4874_6_8,1.9173
/data/jimmy15923/cg_kidney_seg/train/S2016-30313_6_2/image/S2016-30313_6_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-30313_6_2/mask/S2016-30313_6_2_mask.jpg,35625,S2016-30313_6_2,3.5625
/data/jimmy15923/cg_kidney_seg/train/S2016-23877_6_1/image/S2016-23877_6_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-23877_6_1/mask/S2016-23877_6_1_mask.jpg,19766,S2016-23877_6_1,1.9766
/data/jimmy15923/cg_kidney_seg/train/S2016-3653_1_4/image/S2016-3653_1_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-3653_1_4/mask/S2016-3653_1_4_mask.jpg,15029,S2016-3653_1_4,1.5029
/data/jimmy15923/cg_kidney_seg/train/S2016-27539_4_3/image/S2016-27539_4_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27539_4_3/mask/S2016-27539_4_3_mask.jpg,13060,S2016-27539_4_3,1.306
/data/jimmy15923/cg_kidney_seg/train/S2016-40625_5_6/image/S2016-40625_5_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-40625_5_6/mask/S2016-40625_5_6_mask.jpg,17852,S2016-40625_5_6,1.7852
/data/jimmy15923/cg_kidney_seg/train/S2016-40980_5_3/image/S2016-40980_5_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-40980_5_3/mask/S2016-40980_5_3_mask.jpg,3648,S2016-40980_5_3,0.3648
/data/jimmy15923/cg_kidney_seg/train/S2016-8068_5_3/image/S2016-8068_5_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-8068_5_3/mask/S2016-8068_5_3_mask.jpg,35632,S2016-8068_5_3,3.5632
/data/jimmy15923/cg_kidney_seg/train/S2016-507_6_7/image/S2016-507_6_7_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-507_6_7/mask/S2016-507_6_7_mask.jpg,19503,S2016-507_6_7,1.9503
/data/jimmy15923/cg_kidney_seg/train/S2016-20500_4_3/image/S2016-20500_4_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-20500_4_3/mask/S2016-20500_4_3_mask.jpg,10469,S2016-20500_4_3,1.0469
/data/jimmy15923/cg_kidney_seg/train/S2016-20501_6_8/image/S2016-20501_6_8_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-20501_6_8/mask/S2016-20501_6_8_mask.jpg,24175,S2016-20501_6_8,2.4175
/data/jimmy15923/cg_kidney_seg/train/S2016-725_1_1/image/S2016-725_1_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-725_1_1/mask/S2016-725_1_1_mask.jpg,8198,S2016-725_1_1,0.8198
/data/jimmy15923/cg_kidney_seg/train/S2016-13291_2_5/image/S2016-13291_2_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-13291_2_5/mask/S2016-13291_2_5_mask.jpg,504,S2016-13291_2_5,0.0504
/data/jimmy15923/cg_kidney_seg/train/S2016-6606_6_8/image/S2016-6606_6_8_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-6606_6_8/mask/S2016-6606_6_8_mask.jpg,5374,S2016-6606_6_8,0.5374
/data/jimmy15923/cg_kidney_seg/train/S2016-2803_5_5/image/S2016-2803_5_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-2803_5_5/mask/S2016-2803_5_5_mask.jpg,25416,S2016-2803_5_5,2.5416
/data/jimmy15923/cg_kidney_seg/train/S2016-34761_3_5/image/S2016-34761_3_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-34761_3_5/mask/S2016-34761_3_5_mask.jpg,51809,S2016-34761_3_5,5.1809
/data/jimmy15923/cg_kidney_seg/train/S2016-10162_5_1/image/S2016-10162_5_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-10162_5_1/mask/S2016-10162_5_1_mask.jpg,28579,S2016-10162_5_1,2.8579
/data/jimmy15923/cg_kidney_seg/train/S2016-26612_1_6/image/S2016-26612_1_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-26612_1_6/mask/S2016-26612_1_6_mask.jpg,71951,S2016-26612_1_6,7.1951
/data/jimmy15923/cg_kidney_seg/train/S2016-34761_5_4/image/S2016-34761_5_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-34761_5_4/mask/S2016-34761_5_4_mask.jpg,33648,S2016-34761_5_4,3.3648
/data/jimmy15923/cg_kidney_seg/train/S2016-26612_2_6/image/S2016-26612_2_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-26612_2_6/mask/S2016-26612_2_6_mask.jpg,1414,S2016-26612_2_6,0.1414
/data/jimmy15923/cg_kidney_seg/train/S2016-20500_2_6/image/S2016-20500_2_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-20500_2_6/mask/S2016-20500_2_6_mask.jpg,4033,S2016-20500_2_6,0.4033
/data/jimmy15923/cg_kidney_seg/train/S2016-31448_5_4/image/S2016-31448_5_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-31448_5_4/mask/S2016-31448_5_4_mask.jpg,90527,S2016-31448_5_4,9.0527
/data/jimmy15923/cg_kidney_seg/train/S2016-37129_5_7/image/S2016-37129_5_7_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-37129_5_7/mask/S2016-37129_5_7_mask.jpg,26609,S2016-37129_5_7,2.6609
/data/jimmy15923/cg_kidney_seg/train/S2016-4354X_3_1/image/S2016-4354X_3_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-4354X_3_1/mask/S2016-4354X_3_1_mask.jpg,10401,S2016-4354X_3_1,1.0401
/data/jimmy15923/cg_kidney_seg/train/S2016-725_2_5/image/S2016-725_2_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-725_2_5/mask/S2016-725_2_5_mask.jpg,41196,S2016-725_2_5,4.1196
/data/jimmy15923/cg_kidney_seg/train/S2016-35511_4_2/image/S2016-35511_4_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-35511_4_2/mask/S2016-35511_4_2_mask.jpg,661,S2016-35511_4_2,0.0661
/data/jimmy15923/cg_kidney_seg/train/S2016-27883_2_7/image/S2016-27883_2_7_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27883_2_7/mask/S2016-27883_2_7_mask.jpg,7676,S2016-27883_2_7,0.7676
/data/jimmy15923/cg_kidney_seg/train/S2016-978_5_3/image/S2016-978_5_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-978_5_3/mask/S2016-978_5_3_mask.jpg,54736,S2016-978_5_3,5.4736
/data/jimmy15923/cg_kidney_seg/train/S2016-13859_1_3/image/S2016-13859_1_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-13859_1_3/mask/S2016-13859_1_3_mask.jpg,13948,S2016-13859_1_3,1.3948
/data/jimmy15923/cg_kidney_seg/train/S2016-42009_3_3/image/S2016-42009_3_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-42009_3_3/mask/S2016-42009_3_3_mask.jpg,2820,S2016-42009_3_3,0.282
/data/jimmy15923/cg_kidney_seg/train/S2016-31448_3_4/image/S2016-31448_3_4_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-31448_3_4/mask/S2016-31448_3_4_mask.jpg,41736,S2016-31448_3_4,4.1736
/data/jimmy15923/cg_kidney_seg/train/S2016-27883_8_7/image/S2016-27883_8_7_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27883_8_7/mask/S2016-27883_8_7_mask.jpg,60368,S2016-27883_8_7,6.0368
/data/jimmy15923/cg_kidney_seg/train/S2016-16237_3_3/image/S2016-16237_3_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-16237_3_3/mask/S2016-16237_3_3_mask.jpg,57698,S2016-16237_3_3,5.7698
/data/jimmy15923/cg_kidney_seg/train/S2016-8667_4_3/image/S2016-8667_4_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-8667_4_3/mask/S2016-8667_4_3_mask.jpg,28363,S2016-8667_4_3,2.8363
/data/jimmy15923/cg_kidney_seg/train/S2016-23877_3_5/image/S2016-23877_3_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-23877_3_5/mask/S2016-23877_3_5_mask.jpg,62061,S2016-23877_3_5,6.2061
/data/jimmy15923/cg_kidney_seg/train/S2016-13680_5_1/image/S2016-13680_5_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-13680_5_1/mask/S2016-13680_5_1_mask.jpg,74924,S2016-13680_5_1,7.4924
/data/jimmy15923/cg_kidney_seg/train/S2016-3653_5_5/image/S2016-3653_5_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-3653_5_5/mask/S2016-3653_5_5_mask.jpg,13224,S2016-3653_5_5,1.3224
/data/jimmy15923/cg_kidney_seg/train/S2016-25390_8_6/image/S2016-25390_8_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-25390_8_6/mask/S2016-25390_8_6_mask.jpg,35548,S2016-25390_8_6,3.5548
/data/jimmy15923/cg_kidney_seg/train/S2016-18471_3_6/image/S2016-18471_3_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-18471_3_6/mask/S2016-18471_3_6_mask.jpg,53851,S2016-18471_3_6,5.3851
/data/jimmy15923/cg_kidney_seg/train/S2016-22596_3_3/image/S2016-22596_3_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-22596_3_3/mask/S2016-22596_3_3_mask.jpg,89083,S2016-22596_3_3,8.9083
/data/jimmy15923/cg_kidney_seg/train/S2016-16237_3_2/image/S2016-16237_3_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-16237_3_2/mask/S2016-16237_3_2_mask.jpg,2768,S2016-16237_3_2,0.2768
/data/jimmy15923/cg_kidney_seg/train/S2016-35511_3_2/image/S2016-35511_3_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-35511_3_2/mask/S2016-35511_3_2_mask.jpg,59431,S2016-35511_3_2,5.9431
/data/jimmy15923/cg_kidney_seg/train/S2016-38398_5_2/image/S2016-38398_5_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-38398_5_2/mask/S2016-38398_5_2_mask.jpg,54472,S2016-38398_5_2,5.4472
/data/jimmy15923/cg_kidney_seg/train/S2016-13595_6_2/image/S2016-13595_6_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-13595_6_2/mask/S2016-13595_6_2_mask.jpg,12098,S2016-13595_6_2,1.2098
/data/jimmy15923/cg_kidney_seg/train/S2016-13859_2_2/image/S2016-13859_2_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-13859_2_2/mask/S2016-13859_2_2_mask.jpg,1877,S2016-13859_2_2,0.1877
/data/jimmy15923/cg_kidney_seg/train/S2016-6606_6_6/image/S2016-6606_6_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-6606_6_6/mask/S2016-6606_6_6_mask.jpg,4340,S2016-6606_6_6,0.434
/data/jimmy15923/cg_kidney_seg/train/S2016-6606_4_7/image/S2016-6606_4_7_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-6606_4_7/mask/S2016-6606_4_7_mask.jpg,871,S2016-6606_4_7,0.0871
/data/jimmy15923/cg_kidney_seg/train/S2016-35511_4_6/image/S2016-35511_4_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-35511_4_6/mask/S2016-35511_4_6_mask.jpg,42117,S2016-35511_4_6,4.2117
/data/jimmy15923/cg_kidney_seg/train/S2016-24259_4_5/image/S2016-24259_4_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-24259_4_5/mask/S2016-24259_4_5_mask.jpg,42221,S2016-24259_4_5,4.2221
/data/jimmy15923/cg_kidney_seg/train/S2016-15369_4_5/image/S2016-15369_4_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-15369_4_5/mask/S2016-15369_4_5_mask.jpg,45886,S2016-15369_4_5,4.5886
/data/jimmy15923/cg_kidney_seg/train/S2016-23877_6_7/image/S2016-23877_6_7_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-23877_6_7/mask/S2016-23877_6_7_mask.jpg,15262,S2016-23877_6_7,1.5262
/data/jimmy15923/cg_kidney_seg/train/S2016-4354_5_3/image/S2016-4354_5_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-4354_5_3/mask/S2016-4354_5_3_mask.jpg,23355,S2016-4354_5_3,2.3355
/data/jimmy15923/cg_kidney_seg/train/S2016-11239_3_6/image/S2016-11239_3_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-11239_3_6/mask/S2016-11239_3_6_mask.jpg,60303,S2016-11239_3_6,6.0303
/data/jimmy15923/cg_kidney_seg/train/S2016-26612_8_2/image/S2016-26612_8_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-26612_8_2/mask/S2016-26612_8_2_mask.jpg,20324,S2016-26612_8_2,2.0324
/data/jimmy15923/cg_kidney_seg/train/S2016-23877_4_9/image/S2016-23877_4_9_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-23877_4_9/mask/S2016-23877_4_9_mask.jpg,28941,S2016-23877_4_9,2.8941
/data/jimmy15923/cg_kidney_seg/train/S2016-9205_5_5/image/S2016-9205_5_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-9205_5_5/mask/S2016-9205_5_5_mask.jpg,56540,S2016-9205_5_5,5.654
/data/jimmy15923/cg_kidney_seg/train/S2016-27883_5_3/image/S2016-27883_5_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27883_5_3/mask/S2016-27883_5_3_mask.jpg,38300,S2016-27883_5_3,3.83
/data/jimmy15923/cg_kidney_seg/train/S2016-11240_2_2/image/S2016-11240_2_2_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-11240_2_2/mask/S2016-11240_2_2_mask.jpg,37311,S2016-11240_2_2,3.7311
/data/jimmy15923/cg_kidney_seg/train/S2016-10162_5_5/image/S2016-10162_5_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-10162_5_5/mask/S2016-10162_5_5_mask.jpg,44799,S2016-10162_5_5,4.4799
/data/jimmy15923/cg_kidney_seg/train/S2016-28430_4_1/image/S2016-28430_4_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-28430_4_1/mask/S2016-28430_4_1_mask.jpg,11899,S2016-28430_4_1,1.1899
/data/jimmy15923/cg_kidney_seg/train/S2016-22267_4_8/image/S2016-22267_4_8_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-22267_4_8/mask/S2016-22267_4_8_mask.jpg,75073,S2016-22267_4_8,7.5073
/data/jimmy15923/cg_kidney_seg/train/S2016-7394_6_6/image/S2016-7394_6_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-7394_6_6/mask/S2016-7394_6_6_mask.jpg,26673,S2016-7394_6_6,2.6673
/data/jimmy15923/cg_kidney_seg/train/S2016-26432_9_1/image/S2016-26432_9_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-26432_9_1/mask/S2016-26432_9_1_mask.jpg,26142,S2016-26432_9_1,2.6142
/data/jimmy15923/cg_kidney_seg/train/S2016-6007_7_1/image/S2016-6007_7_1_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-6007_7_1/mask/S2016-6007_7_1_mask.jpg,11523,S2016-6007_7_1,1.1523
/data/jimmy15923/cg_kidney_seg/train/S2016-16237_3_5/image/S2016-16237_3_5_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-16237_3_5/mask/S2016-16237_3_5_mask.jpg,9503,S2016-16237_3_5,0.9503
/data/jimmy15923/cg_kidney_seg/train/S2016-13680_3_3/image/S2016-13680_3_3_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-13680_3_3/mask/S2016-13680_3_3_mask.jpg,49056,S2016-13680_3_3,4.9056
/data/jimmy15923/cg_kidney_seg/train/S2016-27883_4_6/image/S2016-27883_4_6_slide.jpg,/data/jimmy15923/cg_kidney_seg/train/S2016-27883_4_6/mask/S2016-27883_4_6_mask.jpg,46232,S2016-27883_4_6,4.6232
